object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
125,1,37,0,random class 2,0.24,0.76,6.3617597,2.8094745,2.6050572,-0.025651684,-0.11255759,-0.993314,-0.4088507,-0.9055569,0.11317167,0.9122407,-0.4090202,0.02279019,949.0,91.0,12.0,6.0,104.0,27.0,30.0,97.70706,18.652266,17.418335
126,1,38,0,random class 2,0.17,0.83,4.9220486,3.565162,1.4083697,-0.18281569,0.03770219,-0.982424,0.41930228,-0.90083706,-0.11259758,0.88924915,0.43251726,-0.14887851,879.0,133.0,41.0,6.0,141.0,58.0,26.0,136.90671,50.6223,14.564278
127,1,39,0,random class 2,0.32,0.68,5.7732778,2.5023828,1.9491746,0.21336499,-0.3091274,-0.926777,-0.35757175,-0.9075104,0.22037989,0.90918523,-0.28436795,0.30416617,1113.0,25.0,22.0,7.0,36.0,38.0,30.0,31.53549,30.689129,17.34052
128,1,40,0,random class 2,0.26,0.74,4.5716786,4.0868874,1.0268584,-0.11836713,-0.048450135,-0.9917872,-0.5907935,-0.79934967,0.10955892,0.7980929,-0.5989096,-0.0659927,703.0,102.0,32.0,8.0,108.0,52.0,30.0,103.78521,43.31579,17.445234
129,1,41,0,random class 2,0.49,0.51,2.889647,2.1505702,1.3832159,0.028113613,-0.2690083,-0.9627274,0.22735775,-0.93614453,0.26821974,0.9734054,0.22642417,-0.03484272,367.0,81.0,0.0,11.0,87.0,9.0,22.0,83.321526,3.934605,16.160763
130,1,42,0,random class 2,0.18,0.82,6.466848,3.7800014,1.5873436,0.04963803,0.10233013,-0.99351126,0.8195406,-0.5727369,-0.018044956,0.5708671,0.8133271,0.112293236,1363.0,12.0,29.0,11.0,21.0,53.0,30.0,15.717535,40.197357,19.851797
131,1,43,0,random class 1,0.77,0.23,2.556122,2.0322986,1.7686661,0.4941013,0.8220803,-0.28292736,-0.30226442,-0.14269298,-0.94248337,0.8151688,-0.55120116,-0.17798084,416.0,63.0,55.0,11.0,73.0,64.0,22.0,67.76442,59.372597,16.711538
132,1,44,0,random class 1,0.52,0.48,5.0724683,1.8684772,1.7658795,-0.054184657,0.55125713,-0.83257407,-0.5898022,-0.69047254,-0.41878518,0.80572784,-0.4683623,-0.3625457,704.0,121.0,9.0,12.0,129.0,23.0,30.0,124.90625,16.81534,21.21591
133,1,45,0,random class 2,0.21,0.79,4.680888,2.645745,1.8785692,0.24411035,-0.9625306,0.11808888,-0.34973264,-0.2009595,-0.9150423,0.90448725,0.18207175,-0.38568467,970.0,2.0,18.0,12.0,15.0,30.0,30.0,7.096907,22.638144,21.129896
134,1,46,0,random class 2,0.25,0.75,5.417655,3.0960162,1.3920828,-0.013882982,0.14663562,-0.9890931,-0.8719769,-0.48588166,-0.059794087,0.48935017,-0.8616362,-0.13460836,922.0,41.0,29.0,12.0,48.0,50.0,30.0,43.559654,38.39805,19.47397
135,1,47,0,random class 2,0.16,0.84,4.4842505,3.51304,1.5665332,-0.025498254,-0.21066605,-0.9772255,-0.94521874,-0.31315482,0.09217168,0.32544032,-0.926042,0.19114059,1005.0,23.0,38.0,12.0,32.0,58.0,30.0,27.520397,47.77214,20.03383
136,1,48,0,random class 2,0.22,0.78,4.0883684,3.9376037,1.0720502,0.014104546,0.20518719,-0.9786211,-0.9993073,0.036602065,-0.0067283455,0.034438983,0.9780381,0.20556131,624.0,88.0,34.0,13.0,94.0,52.0,30.0,90.770836,43.701923,22.163462
137,1,49,0,random class 2,0.35,0.65,4.4548974,3.0729415,1.8188552,0.6389696,0.5018901,-0.5829444,-0.32641685,-0.509306,-0.7962785,0.69654137,-0.69908065,0.16160566,921.0,0.0,3.0,14.0,16.0,15.0,30.0,6.3094463,9.042345,21.906624
138,1,50,0,random class 2,0.22,0.78,4.187555,3.470539,1.0083348,0.1191301,0.14543812,-0.9821689,-0.8725806,-0.4566357,-0.17345576,0.4737205,-0.87768537,-0.072507426,588.0,130.0,27.0,14.0,136.0,44.0,30.0,132.04422,35.55102,23.522108
139,1,51,0,random class 1,0.53,0.47,4.592456,1.5636402,1.2725451,-0.095228486,-0.22147919,-0.9705042,-0.53442496,-0.8111469,0.2375514,0.8398342,-0.5412833,0.041119717,400.0,101.0,52.0,14.0,108.0,64.0,30.0,104.0325,57.715,21.485
140,1,52,0,random class 2,0.48,0.52,4.605835,1.349772,1.2469168,0.21963619,0.9469387,-0.23466383,-0.48206845,0.314463,0.81775486,0.8481568,-0.066484526,0.5255567,309.0,126.0,56.0,14.0,134.0,67.0,30.0,129.8932,60.951458,21.770227
141,1,53,0,random class 2,0.22,0.78,4.0262995,2.9748998,1.5621665,0.10162665,0.13057135,-0.9862166,0.93706965,-0.34542274,0.050829533,0.33402476,0.92931926,0.1574586,721.0,0.0,29.0,16.0,7.0,48.0,30.0,3.2912621,38.156727,23.334257
142,1,54,0,random class 2,0.43,0.57,3.7760024,2.511735,0.81551224,-0.013906355,0.9970484,-0.07550604,-0.458566,0.0607446,0.88658184,0.88855153,0.046953626,0.45636776,226.0,140.0,61.0,16.0,150.0,69.0,30.0,143.0708,64.88496,22.765488
143,1,55,0,random class 1,0.65,0.35,4.101296,2.0222614,1.1701063,0.110805444,-0.912485,-0.3938188,-0.49712402,0.29223537,-0.816986,0.8605753,0.28630328,-0.42123696,365.0,85.0,54.0,17.0,94.0,64.0,30.0,89.76438,58.750687,22.783562
144,1,56,0,random class 2,0.46,0.54,4.030685,2.5349445,1.5869485,-0.7586274,0.2991775,0.57877225,-0.16887698,0.76767886,-0.6181826,0.62925756,0.56671154,0.531858,458.0,47.0,3.0,18.0,60.0,14.0,30.0,52.528385,8.034934,25.347162
145,1,57,0,random class 2,0.17,0.83,3.8037527,2.820903,1.6631453,0.26856306,-0.059932955,-0.9613958,-0.96222574,-0.06297701,-0.26486894,0.044671457,-0.9962138,0.07458233,588.0,48.0,39.0,18.0,59.0,55.0,30.0,52.241497,47.21599,25.261906
146,1,58,0,random class 2,0.26,0.74,3.923563,2.7747211,1.2100092,-0.15628359,-0.12717989,-0.97949004,-0.927474,-0.32212454,0.18980972,0.33965775,-0.9381157,0.06761327,470.0,34.0,40.0,18.0,41.0,58.0,30.0,36.85745,50.553192,25.41915
147,1,59,0,random class 2,0.41,0.59,3.6424096,2.6835525,1.7105356,-0.6535582,0.2890952,-0.69948953,0.6823211,-0.17493066,-0.70981497,0.32756627,0.94118184,0.082928374,410.0,90.0,63.0,18.0,102.0,75.0,30.0,95.19025,68.5561,24.368292
148,1,60,0,random class 2,0.48,0.52,3.8587832,2.1440997,1.6766171,-0.11998479,-0.07767265,-0.9897326,-0.89996135,-0.41238007,0.1414648,0.41913393,-0.9076947,0.02042305,427.0,140.0,41.0,19.0,148.0,58.0,30.0,143.87354,51.80328,25.618267
149,1,61,0,random class 1,0.55,0.45,3.4227326,1.5400885,1.2982147,-0.05442519,0.9086479,-0.41400114,-0.61162966,0.29739243,0.73312134,0.78927,0.29311565,0.53957033,278.0,128.0,64.0,19.0,135.0,75.0,30.0,131.17625,69.60432,24.978416
150,1,62,0,random class 1,0.61,0.39,2.5146182,2.1204898,2.0096602,-0.8397154,-0.17295228,-0.514748,-0.23363453,-0.74063486,0.62998015,0.4901968,-0.64926696,-0.5815149,437.0,28.0,2.0,20.0,40.0,11.0,30.0,32.638443,6.3638444,25.636156
151,1,63,0,random class 1,0.59,0.41,2.9856288,1.9427198,1.2601073,-0.3501065,-0.75226045,-0.5581484,-0.70777977,-0.17785735,0.68367726,0.61357415,-0.634406,0.4701657,277.0,114.0,59.0,20.0,123.0,69.0,30.0,117.949455,64.27798,26.220217
152,1,64,0,random class 2,0.41,0.59,3.7649179,2.2020876,1.3371587,-0.22755837,0.15813649,0.9608382,0.9731331,0.0014048961,0.230239,-0.035059307,-0.98741627,0.15420754,466.0,78.0,35.0,21.0,86.0,51.0,30.0,82.33476,43.345493,26.04292
153,1,65,0,random class 2,0.44,0.56,3.608782,2.5579062,2.0065885,0.8573753,0.5016691,0.11504655,0.48346725,-0.8616545,0.15430778,0.17654184,-0.07667844,-0.9813019,505.0,40.0,59.0,21.0,55.0,72.0,30.0,46.89109,63.41782,26.560396
154,1,66,0,random class 1,0.79,0.21,2.7094028,2.2476175,1.1316711,-0.8562989,-0.51567626,-0.028811997,-0.25473788,0.47021297,-0.8449902,0.4492891,-0.7162247,-0.53400517,285.0,109.0,70.0,22.0,120.0,77.0,30.0,114.50877,73.54386,26.010527
155,1,67,0,random class 2,0.46,0.54,2.5550468,2.18179,1.4268327,-0.09602135,0.9938262,0.05558224,0.9401148,0.072201096,0.3331234,-0.32705364,-0.08424064,0.9412435,315.0,108.0,43.0,23.0,119.0,54.0,30.0,113.012695,49.04127,27.101587
156,1,68,0,random class 1,0.73,0.27,2.0265107,1.9538767,1.4880284,0.42289788,-0.88054895,0.2139881,0.71973956,0.18291484,-0.6697142,-0.55057454,-0.4372364,-0.71112025,245.0,5.0,55.0,23.0,14.0,63.0,30.0,8.714286,59.06939,26.832653
157,1,69,0,random class 1,0.77,0.23,3.230863,1.6907936,1.2791752,0.98548627,0.026482603,0.1676769,0.13256851,0.49689844,-0.8576232,0.10603048,-0.8674045,-0.4861758,255.0,17.0,58.0,23.0,32.0,65.0,30.0,24.631372,61.482353,27.15294
158,1,70,0,random class 1,0.6,0.4,2.1206136,1.4215755,1.0519801,-0.3952298,-0.77590513,-0.4916957,-0.67384696,-0.11888291,0.72924423,0.62427855,-0.6195467,0.47585523,132.0,79.0,58.0,23.0,86.0,65.0,30.0,82.318184,61.325756,26.962122
159,1,71,0,random class 1,0.58,0.42,4.7564707,2.0373178,1.4025468,-0.7543884,0.5531448,-0.35345292,0.6563998,0.6306399,-0.4140442,-0.0061248844,-0.5443566,-0.8388316,400.0,60.0,60.0,23.0,75.0,74.0,30.0,67.5625,66.435,27.1325
160,1,72,0,random class 1,0.76,0.24,2.3228624,1.7379696,1.2460383,-0.948751,-0.06697248,-0.30884674,0.19168046,0.65504676,-0.73087096,0.2512573,-0.75261444,-0.6086389,199.0,77.0,68.0,23.0,86.0,75.0,30.0,81.28643,71.26131,27.080402
161,1,73,0,random class 1,0.52,0.48,2.4375756,1.662777,1.4562025,-0.18452433,-0.7242909,-0.6643444,-0.92516065,-0.10012888,0.36613104,0.33170542,-0.6821854,0.65160924,255.0,136.0,71.0,23.0,144.0,81.0,30.0,139.71373,75.83922,26.760784
162,1,74,0,random class 1,0.6,0.4,2.6626124,1.4604942,0.64779866,-0.013979434,0.10313767,-0.9945688,-0.9986072,-0.05204786,0.008638787,0.050874196,-0.99330443,-0.10372162,101.0,147.0,28.0,24.0,150.0,41.0,30.0,148.40594,34.20792,27.346535
163,1,75,0,random class 1,0.52,0.48,2.2824163,1.2732241,1.0934322,0.016702518,0.9994229,-0.0295792,-0.9960235,0.019220375,0.08699297,0.08751129,0.028008575,0.9957697,135.0,121.0,46.0,25.0,128.0,56.0,30.0,124.08889,50.99259,27.8
164,1,76,0,random class 1,0.61,0.39,1.6134827,1.140939,0.9069538,0.81926167,-0.5712682,-0.049628135,0.5686807,0.8205462,-0.057499524,-0.07356983,-0.018884594,-0.99711126,71.0,31.0,67.0,26.0,38.0,73.0,30.0,34.28169,69.35211,28.112677
165,1,77,0,random class 1,0.62,0.38,2.1740506,1.1582648,0.65942085,-0.3191973,0.94712853,0.032566283,0.9476765,0.31883314,0.015961165,0.004734063,0.03595706,-0.99934214,73.0,51.0,29.0,27.0,57.0,38.0,30.0,53.232876,32.575344,28.424658
166,1,78,0,random class 2,0.48,0.52,1.7484896,1.178923,0.65352213,-0.81157404,0.5790301,0.07792125,0.5792697,0.81484425,-0.021805154,0.07611952,-0.027440922,0.996721,60.0,18.0,67.0,27.0,25.0,73.0,30.0,21.466667,69.53333,28.416666
167,1,79,0,random class 1,0.53,0.47,2.714403,2.0731328,0.63283217,-0.4495977,0.8911406,-0.061077166,-0.8925478,-0.445528,0.069737054,0.034933932,0.08586791,0.99569386,136.0,58.0,76.0,27.0,68.0,87.0,30.0,62.27206,80.89706,28.441177
168,1,80,0,random class 1,0.5,0.5,1.173167,0.6235916,0.45117918,-0.99198145,0.09818573,0.07957648,-0.12170829,-0.9118226,-0.39213085,0.03405797,-0.39867166,0.9164611,16.0,5.0,0.0,28.0,10.0,3.0,30.0,7.375,0.5,28.625
169,1,81,0,random class 1,0.5,0.5,1.9116672,0.880736,0.46545327,-0.19735742,0.97398174,0.11139858,-0.9800685,-0.19865885,0.0005951214,0.02270995,-0.10906079,0.9937756,38.0,25.0,22.0,28.0,29.0,30.0,30.0,26.473684,25.657894,28.657894
170,1,82,0,random class 1,0.61,0.39,1.3011433,0.67145705,0.4423549,0.13475563,0.9885267,-0.06823404,0.98970157,-0.13092016,0.05788574,0.048288386,-0.07533176,-0.9959886,18.0,116.0,28.0,28.0,119.0,33.0,30.0,117.166664,29.666666,28.722221
171,1,83,0,random class 1,0.63,0.37,1.6179743,0.83109546,0.48108166,-0.21480615,0.97581875,-0.040448617,0.9766564,0.21465534,-0.008087033,0.0007910327,-0.041241545,-0.9991489,30.0,68.0,41.0,28.0,72.0,48.0,30.0,69.76667,44.266666,28.633333
172,1,84,0,random class 1,0.53,0.47,0.91352963,0.4802206,0.44142023,0.19851261,-0.7467299,-0.6348127,0.97985035,0.16577652,0.11140666,0.022046363,-0.6441371,0.7645923,10.0,0.0,58.0,28.0,2.0,62.0,30.0,0.4,59.7,28.7
173,1,85,0,random class 1,0.62,0.38,2.8402028,0.5728838,0.28731993,0.0039305785,0.9983312,0.057613663,0.9995766,-0.005583387,0.02855495,0.028828977,0.057477035,-0.9979305,20.0,80.0,77.0,28.0,83.0,88.0,30.0,81.15,80.8,28.9
174,1,86,0,random class 1,0.6,0.4,2.207622,1.6485537,0.48706427,0.98982495,-0.14108212,-0.018502878,0.14095773,0.98998433,-0.007869095,-0.019427748,-0.005180903,-0.9997978,86.0,95.0,79.0,28.0,104.0,87.0,30.0,99.27907,82.46512,28.60465
175,2,1,0,random class 1,0.62,0.38,3.466535,1.3187402,1.1571836,0.32376662,0.4067916,-0.8542223,-0.19105741,-0.8561432,-0.48012075,0.9266457,-0.31865257,0.19947003,198.0,59.0,0.0,0.0,67.0,7.0,12.0,63.075756,1.7575758,4.1313133
176,2,2,0,random class 1,0.69,0.31,1.4778653,1.0121866,0.46396953,-0.99893486,0.0067398828,0.04564747,-0.04614224,-0.14365168,-0.98855203,0.00010538912,0.98960537,-0.14380968,34.0,76.0,0.0,0.0,82.0,2.0,4.0,78.76471,0.38235295,1.1470588
177,2,3,0,random class 1,0.68,0.32,1.5901015,1.2910317,1.1645685,0.8501692,0.075662926,-0.52104455,-0.5116288,-0.11489398,-0.8514901,0.124291115,-0.99049205,0.05896799,104.0,90.0,0.0,0.0,96.0,5.0,6.0,92.71154,1.9230769,1.6153846
178,2,4,0,random class 1,0.69,0.31,2.3663654,0.82887363,0.46150368,0.09829345,0.9934618,-0.058069512,-0.019475317,-0.056420576,-0.9982171,0.99496686,-0.09924913,-0.01380221,41.0,100.0,0.0,0.0,104.0,2.0,9.0,101.731705,0.31707317,3.2439024
179,2,5,0,random class 1,0.5,0.5,3.5467856,1.0692655,0.9259355,-0.028723003,0.90756977,0.41891783,-0.18724,-0.41655764,0.8896184,0.9818942,-0.052885663,0.18189815,129.0,134.0,0.0,0.0,138.0,5.0,13.0,135.48837,1.1240311,4.387597
180,2,6,0,random class 1,0.53,0.47,3.32294,2.06057,1.274036,0.05901491,-0.039050743,-0.99749297,-0.26440886,-0.9641574,0.022102408,0.96260333,-0.2624416,0.067225024,391.0,51.0,0.0,0.0,56.0,9.0,14.0,53.112534,3.337596,5.506394
181,2,7,0,random class 1,0.53,0.47,1.4686329,1.2597277,0.7181962,-0.17375201,0.11793391,-0.9777023,0.55587727,0.83126307,0.0014823629,-0.8129026,0.54322493,0.2099904,54.0,147.0,1.0,0.0,150.0,7.0,6.0,148.22223,3.574074,1.4814814
182,2,8,0,random class 2,0.44,0.56,1.7571576,1.7178665,1.2715163,0.012101639,0.14053196,0.99000216,0.09342324,-0.98590285,0.13880806,-0.99555296,-0.09080941,0.02505999,172.0,28.0,1.0,0.0,34.0,9.0,7.0,30.139534,4.354651,2.5406976
183,2,9,0,random class 1,0.54,0.46,4.4519005,1.3727442,0.8706429,-0.23296975,-0.41758347,-0.87826484,-0.3660109,-0.7990589,0.47701243,0.90097785,-0.432584,-0.033316452,193.0,120.0,0.0,0.0,127.0,9.0,16.0,122.544044,2.8549223,5.284974
184,2,10,0,random class 1,0.67,0.33,4.221959,1.3190616,0.81490624,-0.08634655,0.81497127,-0.5730324,0.06071715,-0.56980664,-0.8195327,0.99441326,0.10555671,0.00028189606,105.0,109.0,3.0,0.0,115.0,8.0,13.0,111.47619,5.2380953,4.8
185,2,11,0,random class 1,0.55,0.45,2.1809762,1.5785588,1.3137184,-0.371865,-0.45424882,-0.809552,-0.9128162,0.020383783,0.4078615,0.16876887,-0.8906416,0.4222257,197.0,40.0,4.0,0.0,47.0,13.0,6.0,42.588833,7.6700506,2.0812182
186,2,12,0,random class 2,0.48,0.52,5.3941474,1.3543158,1.1894305,-0.01199956,-0.23306635,-0.9723868,-0.21083501,-0.9500047,0.23030348,0.977448,-0.20777673,0.03773891,344.0,68.0,1.0,0.0,74.0,11.0,20.0,70.32849,5.8226743,8.377907
187,2,13,0,random class 1,0.64,0.36,4.2779794,1.42365,1.1046088,0.12194435,-0.95300895,0.2773148,-0.3774225,-0.3029352,-0.87509,0.91797704,0.0020474237,-0.39662826,277.0,140.0,3.0,0.0,146.0,12.0,15.0,142.79422,6.7148013,6.8808665
188,2,14,0,random class 2,0.29,0.71,7.1236143,2.7647927,1.3262005,-0.52325517,-0.6149207,-0.5899802,-0.48018956,-0.35918635,0.8002519,0.7040043,-0.7020383,0.107332386,637.0,126.0,3.0,0.0,141.0,18.0,20.0,132.83987,9.858713,7.7488227
189,2,15,0,random class 2,0.37,0.63,3.038409,2.622555,0.73214203,0.28178144,-0.03322601,0.95890313,-0.89845604,-0.3598606,0.2515494,0.33671346,-0.9324143,-0.13125415,217.0,100.0,8.0,0.0,106.0,19.0,11.0,103.207375,12.6728115,4.829493
190,2,16,0,random class 2,0.49,0.51,4.152737,1.9786501,0.8805944,0.1544148,0.053514324,-0.98655576,-0.41336447,-0.9034384,-0.113705166,0.89737725,-0.42536485,0.117383346,287.0,95.0,6.0,0.0,101.0,16.0,16.0,97.38328,10.484321,7.641115
191,2,17,0,random class 2,0.49,0.51,4.069825,2.8034234,1.3383247,0.5969902,0.7433477,0.3017232,0.080732316,0.31852192,-0.9444713,0.79817605,-0.58819896,-0.13014229,576.0,10.0,8.0,0.0,23.0,16.0,17.0,15.972222,11.479167,8.204861
192,2,18,0,random class 1,0.66,0.34,3.8305945,1.5920659,1.0674263,0.3008987,-0.87180233,0.38654965,-0.19366978,-0.45275003,-0.8703502,0.9337837,0.18702424,-0.30507368,255.0,57.0,10.0,0.0,65.0,17.0,14.0,60.75294,12.243137,5.4235296
193,2,19,0,random class 1,0.52,0.48,3.2141268,0.756175,0.4724025,0.36900494,0.914268,-0.16718064,-0.9292632,0.3663036,-0.047870684,0.017472235,0.17301935,0.98476344,39.0,81.0,11.0,0.0,87.0,21.0,2.0,83.48718,14.769231,0.3846154
194,2,20,0,random class 1,0.53,0.47,3.5243495,1.7897785,0.9825459,-0.26460695,0.18600051,-0.9462489,-0.39606506,-0.9156094,-0.06922308,0.87926996,-0.3564592,-0.3159449,216.0,120.0,11.0,0.0,126.0,21.0,12.0,122.25,13.981482,4.013889
195,2,21,0,random class 2,0.17,0.83,8.431092,2.7157264,2.1526802,-0.14269763,0.48615453,0.86214334,0.00065038254,-0.8710112,0.49126267,0.9897661,0.070662744,0.12397506,1307.0,61.0,13.0,0.0,74.0,25.0,30.0,68.1492,18.498087,16.360367
196,2,22,0,random class 1,0.61,0.39,3.8175204,1.4181577,1.1517042,-0.21972582,0.18383443,-0.9580843,-0.5339991,-0.8445579,-0.039584663,0.8164347,-0.5029183,-0.28373858,151.0,128.0,16.0,0.0,134.0,26.0,11.0,130.59602,19.748344,3.3377483
197,2,23,0,random class 1,0.66,0.34,2.177594,1.7603642,1.5891056,-0.046991646,0.8028723,-0.5942961,0.08371586,-0.5896948,-0.8032756,0.99538106,0.08749925,0.03950242,281.0,39.0,18.0,0.0,46.0,26.0,10.0,41.775803,21.622776,3.9395018
198,2,24,0,random class 2,0.35,0.65,4.4216237,2.546497,2.259728,-0.13120516,0.5613691,0.8170985,-0.10696471,-0.82742834,0.5512902,0.98556775,-0.015068585,0.16860954,1069.0,48.0,19.0,0.0,60.0,30.0,18.0,53.59869,23.665108,7.7362022
199,2,25,0,random class 2,0.21,0.79,7.70797,2.9380598,1.8908956,-0.1099868,-0.061196942,-0.9920473,-0.25045747,-0.96418834,0.08724623,0.96185964,-0.2580616,-0.09072076,1165.0,134.0,17.0,0.0,145.0,32.0,28.0,139.66266,25.260944,14.40515
200,2,26,0,random class 2,0.23,0.77,7.546296,3.0959728,2.0236402,-0.31285784,0.30644625,-0.89900535,0.14587858,-0.9197867,-0.36429644,0.93853045,0.24511863,-0.24305853,1459.0,109.0,22.0,0.0,123.0,37.0,27.0,114.57505,28.556545,13.940371
201,2,27,0,random class 2,0.42,0.58,4.4999123,2.329217,0.97144574,0.15152399,0.49271712,-0.85689574,-0.16844597,0.8670963,0.46879634,0.9739951,0.07330675,0.2143821,409.0,73.0,28.0,0.0,80.0,38.0,18.0,75.49878,32.129585,8.0366745
202,2,28,0,random class 1,0.62,0.38,1.9984119,1.7020513,1.1751875,-0.49359944,-0.86500716,-0.09012315,0.8518615,-0.50175273,0.15025386,0.1751902,0.002607214,-0.98453116,176.0,104.0,34.0,0.0,112.0,42.0,5.0,107.13636,38.022728,1.4318181
203,2,29,0,random class 2,0.37,0.63,5.7776766,2.3987646,1.8221414,0.026226152,-0.5737997,-0.8185756,-0.7968019,-0.5064896,0.32950717,0.6036712,-0.64360094,0.47048798,933.0,121.0,27.0,0.0,130.0,47.0,18.0,125.648445,36.89282,6.273312
204,2,30,0,random class 2,0.42,0.58,6.0671654,2.3080745,0.7803394,0.01395222,-0.023578735,-0.9996246,-0.5486575,-0.8359602,0.012060422,0.8359308,-0.5482833,0.02460015,458.0,146.0,29.0,0.0,150.0,47.0,21.0,148.17905,37.528385,8.032751
205,2,31,0,random class 1,0.65,0.35,3.3515282,1.7350045,1.6259542,-0.12064123,0.9497353,0.2888747,-0.00017885338,0.2909793,-0.95672935,0.99269617,0.115472674,0.034934238,433.0,66.0,40.0,0.0,75.0,47.0,14.0,70.17321,43.08083,6.4665127
206,2,32,0,random class 2,0.2,0.8,4.978283,3.176923,1.6474446,0.15610287,-0.051523656,-0.9863961,0.93846995,-0.30373055,0.16438343,0.30806825,0.9513638,-0.00094019494,1106.0,92.0,38.0,0.0,101.0,59.0,17.0,95.66546,48.636528,7.839964
207,2,33,0,random class 2,0.46,0.54,3.150621,1.9514766,1.6902882,0.08640406,0.52766156,0.8450489,0.18902554,-0.8414963,0.5061159,0.9781634,0.11600534,-0.17245021,482.0,22.0,18.0,2.0,30.0,26.0,15.0,25.340248,21.676348,8.085062
208,2,34,0,random class 2,0.28,0.72,4.5468464,2.8585079,1.848039,-0.17851931,-0.4517774,-0.874087,-0.63188964,-0.6283144,0.45380235,0.75421906,-0.633339,0.1733072,962.0,77.0,16.0,4.0,89.0,32.0,22.0,82.48856,23.45842,13.875259
209,2,35,0,random class 1,0.59,0.41,2.966806,0.96501136,0.58123475,-0.15244901,-0.7266129,-0.66992015,-0.47837755,-0.5388943,0.69335985,0.86482036,-0.4261768,0.2654414,71.0,144.0,13.0,5.0,149.0,19.0,16.0,145.64789,15.492958,10.112676
210,2,36,0,random class 2,0.36,0.64,6.2847095,2.27454,1.9248086,0.1993219,0.5202372,-0.83043605,-0.3155586,0.8363755,0.44821742,0.9277357,0.1727117,0.33087328,1101.0,26.0,24.0,5.0,38.0,39.0,30.0,32.448685,31.662125,16.752043
211,2,37,0,random class 2,0.15,0.85,4.9569182,3.2126484,1.5290979,0.30943674,0.1618913,-0.93703794,-0.35929576,-0.89244956,-0.27283755,0.88042915,-0.42109972,0.21798985,965.0,58.0,29.0,5.0,68.0,46.0,25.0,62.472538,36.364765,15.14715
212,2,38,0,random class 2,0.19,0.81,4.7458043,3.6412673,1.3614212,-0.13654414,-0.2098088,-0.9681611,0.07487372,0.97233343,-0.22127275,0.9878004,-0.102703325,-0.11705727,874.0,133.0,42.0,5.0,140.0,59.0,25.0,136.41075,51.240276,14.868421
213,2,39,0,random class 2,0.19,0.81,5.087374,2.8738005,1.5433183,0.21444185,0.018556073,-0.9765605,-0.7463526,-0.6418343,-0.17608654,0.6300575,-0.7666188,0.12378677,911.0,117.0,38.0,6.0,126.0,57.0,25.0,120.913284,47.315037,15.016465
214,2,40,0,random class 1,0.53,0.47,3.260163,1.1352335,0.85992396,-0.00014743418,0.71775836,0.6962923,-0.0097094895,-0.6962605,0.7177235,0.99995285,-0.006654826,0.0070717195,140.0,0.0,0.0,7.0,4.0,4.0,20.0,1.1428572,1.1214286,12.828571
215,2,41,0,random class 2,0.37,0.63,5.830251,2.3472555,2.1352656,-0.05792093,0.9748436,0.21523269,-0.64938134,-0.20054038,0.73354447,0.75825393,-0.0972805,0.6446607,793.0,93.0,12.0,7.0,106.0,28.0,30.0,99.17403,19.503153,15.518285
216,2,42,0,random class 2,0.18,0.82,6.650041,3.5651855,1.6258838,0.050353624,0.09122032,-0.99455684,0.79287064,-0.6091869,-0.015731942,0.60730606,0.7877628,0.10300068,1349.0,13.0,29.0,10.0,21.0,54.0,30.0,16.769459,40.48777,19.508524
217,2,43,0,random class 2,0.17,0.83,5.1789618,3.4495304,1.5035322,0.0787542,0.1012804,-0.9917359,-0.7736223,-0.62122035,-0.124875434,0.62873393,-0.7770634,-0.029429054,1088.0,41.0,30.0,10.0,49.0,50.0,30.0,44.192097,39.454044,18.818933
218,2,44,0,random class 2,0.26,0.74,4.6416836,4.4014053,1.0559006,-0.101980515,-0.05533981,-0.99324596,-0.5837798,-0.8051203,0.10479718,0.8054819,-0.5905242,-0.049800318,722.0,102.0,33.0,10.0,108.0,53.0,30.0,103.95845,43.616344,17.736841
219,2,45,0,random class 1,0.5,0.5,2.8163748,2.3138149,1.17745,-0.09861971,0.19425258,0.9759816,-0.9925012,0.051975697,-0.11063384,-0.07221823,-0.9795736,0.1876701,325.0,82.0,0.0,12.0,89.0,11.0,22.0,84.92,5.086154,17.184616
220,2,46,0,random class 2,0.33,0.67,4.428232,3.1291392,1.8635011,0.64825594,0.47868058,-0.5921395,-0.44503435,-0.39281744,-0.80476016,0.61782575,-0.78521293,0.041616943,949.0,0.0,3.0,12.0,16.0,16.0,29.0,6.821918,9.754478,21.214964
221,2,47,0,random class 2,0.36,0.64,4.5096316,2.5515099,2.0130002,0.12011727,0.9913732,-0.05245032,-0.42006305,0.09862412,0.90211993,0.8995104,-0.08632774,0.4282857,904.0,3.0,18.0,12.0,15.0,30.0,30.0,7.4469028,23.238937,21.362831
