object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of random class 1,Probability of random class 2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
59,0,60,0,random class 2,0.23,0.77,4.6977015,2.647878,1.6303475,-0.31371346,0.13569978,-0.93977094,0.9494647,0.034374364,-0.31198588,0.010032386,0.9901535,0.13962585,652.0,49.0,36.0,18.0,60.0,55.0,30.0,52.983128,46.423313,25.503067
60,0,61,random class 1,random class 1,0.75,0.25,3.2287717,2.5275264,1.9356451,-0.53491056,0.24319677,-0.8091514,0.63137466,-0.5213425,-0.57408017,0.5614595,0.81795925,-0.12532334,527.0,91.0,63.0,18.0,103.0,75.0,30.0,95.76091,68.76091,23.705883
61,0,62,random class 2,random class 2,0.25,0.75,3.498415,2.5968049,1.4421424,0.25278872,0.13219957,-0.9584473,-0.9362989,-0.21620287,-0.2767682,0.24380769,-0.96735704,-0.06912466,520.0,78.0,35.0,19.0,87.0,50.0,30.0,82.332695,43.003845,25.367308
62,0,63,0,random class 1,0.52,0.48,3.7358398,2.0422502,1.4494172,-0.22735648,-0.11931366,-0.96647465,-0.8898883,-0.37760457,0.25595626,0.39548433,-0.9182478,0.020324985,327.0,142.0,42.0,19.0,150.0,57.0,30.0,145.3364,51.474007,26.0948
63,0,64,random class 1,random class 1,0.89,0.11,3.292699,1.5538532,1.401482,-0.070503294,-0.837855,0.5413209,-0.655816,-0.36996728,-0.6580498,0.75162137,-0.4014016,-0.5233948,311.0,129.0,63.0,19.0,135.0,74.0,30.0,131.33119,69.10611,25.186495
64,0,65,0,random class 1,0.59,0.41,3.2138448,1.979629,1.1876498,-0.35332268,-0.8122226,-0.464174,-0.71978515,-0.08090849,0.6894659,0.5975554,-0.5777095,0.556039,289.0,114.0,58.0,20.0,123.0,68.0,30.0,118.40485,63.34948,26.145329
65,0,66,random class 2,random class 2,0.3,0.7,2.8587754,2.305686,1.5355761,-0.9397284,0.31147635,-0.14104268,-0.31382102,-0.6219324,0.71743745,0.1357458,0.7184585,0.68219537,374.0,27.0,3.0,21.0,40.0,13.0,30.0,32.294117,8.0,25.53476
66,0,67,0,random class 1,0.79,0.21,2.5895224,2.2684562,0.99863255,-0.7521328,-0.6527018,-0.09097597,-0.3122127,0.47449157,-0.8230316,0.58036155,-0.59062517,-0.56066245,243.0,110.0,69.0,21.0,121.0,77.0,30.0,115.19753,73.19753,25.893003
67,0,68,0,random class 1,0.7,0.3,2.166908,1.9419916,1.3957394,-0.6291481,-0.766081,0.13150148,0.24369924,-0.3550612,-0.90251994,-0.7380944,0.5357719,-0.41007942,253.0,5.0,55.0,22.0,15.0,62.0,30.0,9.071146,58.561264,26.3083
68,0,69,0,random class 1,0.69,0.31,3.6414073,1.93322,1.2481607,-0.9954193,0.03804558,0.08770904,-0.09551712,-0.43511337,-0.89529485,-0.004101364,0.8995715,-0.43675426,356.0,40.0,58.0,22.0,55.0,65.0,30.0,46.66292,61.435394,26.671349
